time,ax,ay,az,atotal
3.328998089,0.03,0.05,-0.01,0.05
3.337320089,0.05,0.04,-0.1,0.11
3.34759903,0.03,0.05,-0.16,0.17
3.357909203,0.01,0.08,-0.18,0.19
3.367678165,-0.04,0.09,-0.15,0.17
3.383786201,-0.1,0.11,-0.03,0.15
3.386810064,-0.1,0.08,0.1,0.16
3.397470951,0.01,0.08,0.16,0.17
3.406857014,0.05,0.1,0.05,0.12
3.417498112,0.09,0.08,-0.11,0.16
3.429248095,0.1,0.02,-0.21,0.23
3.437299252,0.11,-0.01,-0.2,0.22
3.447312117,0.09,0.02,-0.15,0.17
3.457177162,0.05,0.01,-0.11,0.12
3.466914177,0.03,0.02,-0.07,0.07
3.483540058,0.01,0.06,-0.03,0.06
3.486525059,-0.02,0.1,0.01,0.1
3.497604132,0.02,0.1,0.02,0.1
3.507212162,0.22,0.01,0.12,0.25
3.51651001,0.29,-0.06,-0.14,0.32
3.527422905,-0.38,0.33,-0.26,0.56
3.537142038,-0.61,0.5,-0.15,0.8
3.546432018,-0.18,0.29,0.15,0.37
3.556736946,0.08,0.04,0.54,0.54
3.566666126,0.12,-0.01,0.52,0.53
3.576724052,0.15,-0.04,-0.02,0.15
